restriction_set,shock,variable,h,q16,q50,q84
baseline,risk_aversion,real_yield,26,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,27,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,28,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,29,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,30,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,31,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,32,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,33,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,34,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,35,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,36,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,37,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,38,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,39,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,40,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
